文献番号,著者・編者,著者・編者ふりがな,発行年1,発行年2,論文名,雑誌名・報告書名
B110095,浦和市遺跡調査会,うらわしいせきちょうさかい,1979,a,,浦和市遺跡調査会報告書第９集　大北遺跡発掘調査報告書
B110096,浦和市遺跡調査会,うらわしいせきちょうさかい,1979,b,,浦和市遺跡調査会報告書第11集　三室遺跡発掘調査報告書
B110097,小田静夫,おだしずお,1979,,広域火山灰と先土器時代遺跡の編年―特にＡＴについて―,史館第11号
B110098,川岸良明,かわぎしよしあき,1979,,柳瀬川流域および以北の武蔵野台地における先土器時代遺跡分布調査,呵呵第３号
B110099,久喜市教育委員会,くきしきょういくいいんかい,1979,,,久喜市埋蔵文化財調査報告書　高輪寺遺跡
B110100,小林達雄・安岡路洋,こばやしたつお・やすおかみちひろ,1979,,縄文時代草創期における回転施文縄文への一様相―埼玉県大里郡岡部町水久保遺跡―,埼玉県史研究第４号
B110101,田中英司,たなかひでし,1979,a,埼玉における先土器時代調査の現状と課題,情報６
B110102,田中英司,たなかひでし,1979,b,武蔵野台地Ⅱｂ期前半の石器群と砂川期の設定について,神奈川考古第７号
B110103,肥沼正和,ひぬままさかず,1979,,朝霞市泉水山遺跡の概要,土曜考古創刊号
B110104,富士見市遺跡調査会,ふじみしいせきちょうさかい,1979,a,,富士見市遺跡調査会調査報告第1集　唐沢遺跡
B110105,富士見市遺跡調査会,ふじみしいせきちょうさかい,1979,b,,富士見市遺跡調査会調査報告第2集　松ノ木遺跡第1地点
B110106,富士見市遺跡調査会,ふじみしいせきちょうさかい,1979,c,,富士見市遺跡調査会調査報告第3集　三芳唐沢遺跡
B110107,富士見市遺跡調査会,ふじみしいせきちょうさかい,1979,d,,富士見市遺跡調査会調査報告第4集　三芳唐沢遺跡
B110108,浦和市遺跡調査会,うらわしいせきちょうさかい,1980,,,浦和市遺跡調査会報告書第13集　大間木内谷・和田西・吉場・井沼方遺跡発掘調査報告書
B110109,川口市教育委員会,かわぐちしきょういくいいんかい,1980,,,川口市文化財調査報告書第13集
B110110,旧石器時代遺跡発掘調査団,きゅうせっきじだいいせきはっくつちょうさだん,1980,,,埼玉県伊奈町浅間遺跡・埼玉県朝霞市泉水山遺跡発掘調査報告書
B110111,久喜市教育委員会,くきしきょういくいいんかい,1980,,,久喜市埋蔵文化財調査報告書足利遺跡
B110112,埼玉県,さいたまけん,1980,,,新編埼玉県史資料編1
B110113,埼玉県教育委員会,さいたまけんきょういくいいんかい,1980,,,埼玉県遺跡発掘調査報告書第28集　児沢・立野・大塚原
B110114,実川順一,じつかわじゅんいち,1980,,山室遺跡出土石器の顕微鏡観察,石器研究１
B110115,富士見市遺跡調査会,ふじみしいせきちょうさかい,1980,,,富士見市遺跡調査会調査報告第8集　松ノ木遺跡第2地点発掘調査報告書
B110116,富士見市教育委員会,ふじみしきょういくいいんかい,1980,,,富士見市文化財報告第19集　富士見市中央遺跡群Ⅲ
B110117,堀口万吉,ほりぐちまんきち,1980,,埼玉県の地形と地質,埼玉県市町村史第20巻
B110118,松井政信,まついまさのぶ,1980,,埼玉県上尾市殿山遺跡出土の先土器時代資料,石器研究１
B110119,青木秀雄,あおきひでお,1981,,宮代町前原遺跡の調査,第14回遺跡発掘調査報告会発表要旨
B110120,伊奈町天神前遺跡調査会,いなまちてんじんまえいせきちょうさかい,1981,,,小室天神前遺跡
B110121,浦和市遺跡調査会,うらわしいせきちょうさかい,1981,a,,浦和市遺跡調査会報告書第15集　大北・井沼方遺跡発掘調査報告書
B110122,浦和市遺跡調査会,うらわしいせきちょうさかい,1981,b,,浦和市遺跡調査会報告書第19集　大古里遺跡発掘調査報告書
B110123,劔持和夫,けんもちかずお,1981,,浦和市明花向遺跡の調査,第14回遺跡発掘調査報告会発表要旨
B110124,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1981,,,埼玉県埋蔵文化財調査事業団報告書第2集　桜山古墳群
B110125,所沢市教育委員会,ところざわしきょういくいいんかい,1981,,,所沢市文化財調査報告書第5集　第4次調査膳棚遺跡
B110126,中山清隆・柳沼賢治,なかやまきよたか・やなぎぬまけんじ,1981,,朝霞市下ノ原遺跡（第Ⅳ地点）の調査,第14回遺跡発掘調査報告会発表要旨
B110127,深町遺跡調査会,ふかまちいせきちょうさかい,1981,,,深町遺跡調査会深町・城の内遺跡
B110128,富士見市,ふじみし,1981,,,富士見市史調査報告書第3集　多門館跡
B110129,三芳町教育委員会,みよしまちきょういくいいんかい,1981,,,三芳町埋蔵文化財報告11新開遺跡Ⅰ
B110130,与野市教育委員会,よのしきょういくいいんかい,1981,,,中里前原遺跡－第二次発掘調査（B地点）－
B110131,寄居町教育委員会,よりいまちきょういくいいんかい,1981,,,寄居町教育委員会第4集　稲荷窪遺跡
B110132,赤石光資,あかいしみつし,1982,,上尾市前戸崎遺跡の調査,第15回遺跡発掘調査報告会発表要旨
B110133,上尾市教育委員会,あげおしきょういくいいんかい,1982,,,上尾市文化財調査報告第11集　殿山遺跡石器研究会編
B110134,荒井幹夫・実川順一,あさいみきお・じつかわじゅんいち,1982,,大宮台地,シンポジウム南関東を中心としたナイフ形石器文化の諸問題《資料》
B110135,朝霞市泉水山・下ノ原遺跡発掘調査会,あさかしせんずいやましものはらいせきはっくつちょうさかい,1982,,,埼玉県朝霞市泉水山・下ノ原遺跡1981年度発掘調査概報９
B110136,浦和市遺跡調査会,うらわしいせきちょうさかい,1982,,,浦和市遺跡調査会報告書第20集　井沼方・大北・和田北・西谷・吉場遺跡発掘調査報告書
B110137,大宮市遺跡調査会,おおみやしいせきちょうさかい,1982,,,大宮市遺跡調査会報告第５集　宮ヶ谷塔第５貝塚
B110138,奥野恭史・秦野昌明,おくの,1982,,大戸本村７号遺跡出土のポイントについて,浦和考古学会研究調査報告第10集
B110139,金子直行,かねこなおゆき,1982,,伊奈町北遺跡の調査,第15回遺跡発掘調査報告会発表要旨
B110140,栗島義明,くりしまよしあき,1982,,武蔵野台地,シンポジウム南関東を中心としたナイフ形石器文化の諸問題《資料》
B110141,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1982,a,,埼玉県埋蔵文化財調査事業団報告書第6集　境窪遺跡Ⅱ
B110142,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1982,b,,埼玉県埋蔵文化財調査事業団報告書第16集　下沼・平野・新堀・中山・お金塚・中井丘・鶴巻・水久保・狢久保遺跡
B110143,増田一裕,ますだかずひろ,1982,,埼玉県本庄市三杢山採集の尖頭器,旧石器考古学24
B110144,三芳町教育委員会,みよしまちきょういくいいんかい,1982,,,三芳町埋蔵文化財報告12新開遺跡Ⅱ
B110145,大和修,やまとおさむ,1982,,伊奈町向原遺跡の調査,第15回遺跡発掘調査報告会発表要旨
B110146,寄居町教育委員会,よりいまちきょういくいいんかい,1982,,,寄居町教育委員会第6集　南大塚遺跡
B110147,青木義脩,あおきぎしゅう,1983,,浦和市松木遺跡の調査,第16回遺跡発掘調査報告会発表要旨
B110148,上尾市教育委員会,あげおしきょういくいいんかい,1983,,,上尾市文化財調査報告第17集　前戸崎遺跡
B110149,朝霞市泉水山・下ノ原遺跡発掘調査会,あさかしせんずいやましものはらいせきはっくつちょうさかい,1983,,,泉水山・下ノ原遺跡Ⅰ－1980年度発掘調査報告書－
B110150,岩槻市遺跡調査会・岩槻市教育委員会,いわつきしいせきちょうさかい・いわつきしきょういくいいんかい,1983,,,裏慈恩寺東遺跡
B110151,岩槻市役所,いわつきしやくしょ,1983,,,岩槻市史　考古資料編
B110152,浦和市遺跡調査会,うらわしいせきちょうさかい,1983,a,,浦和市遺跡調査会報告書第23集　松木北・松木遺跡発掘調査報告書
B110153,浦和市遺跡調査会,うらわしいせきちょうさかい,1983,b,,浦和市遺跡調査会報告書第24集　北宿・馬場北・馬場東・馬場小室山遺跡発掘調査報告書
B110154,浦和市遺跡調査会,うらわしいせきちょうさかい,1983,c,,浦和市遺跡調査会報告書第25集　西谷・和田北・大北・大間木内谷遺跡発掘調査報告書
B110155,浦和市遺跡調査会,うらわしいせきちょうさかい,1983,d,,浦和市遺跡調査会報告書第30集　善前南遺跡発掘調査報告書
B110156,浦和市遺跡調査会,うらわしいせきちょうさかい,1983,e,,浦和市遺跡調査会報告書第32集　井沼方遺跡発掘調査報告書
B110157,大宮市遺跡調査会,おおみやしいせきちょうさかい,1983,a,,大宮市遺跡調査会報告第6集　鷲山遺跡
B110158,大宮市遺跡調査会,おおみやしいせきちょうさかい,1983,b,,大宮市遺跡調査会報告第７集　小深作前遺跡、青葉園東遺跡
B110159,騎西町教育委員会,きさいまちきょういくいいんかい,1983,,,騎西町埋蔵文化財調査報告書第２集　騎西町遺跡分布調査報告書
B110160,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1983,a,,埼玉県埋蔵文化財調査事業団報告書第24集　ささら・帆立・馬込新屋敷・馬込大原
B110161,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1983,b,,埼玉県埋蔵文化財調査事業団報告書第29集　久保山
B110162,狭山市史編さん係,さやまししへんさんかかり,1983,,,狭山市史編さん調査報告書12　狭山市遺跡分布調査報告書第１集　
B110163,所沢市教育委員会,ところざわしきょういくいいんかい,1983,,,所沢市文化財調査報告書第9集　武蔵野遺跡
B110164,富士見市遺跡調査会,ふじみしいせきちょうさかい,1983,,,富士見市遺跡調査会調査報告第21集　針ヶ谷遺跡群－南通遺跡第3地点の調査－
B110165,富士見市教育委員会,ふじみしきょういくいいんかい,1983,a,,富士見市文化財報告第27集　富士見市遺跡群Ⅰ
B110166,富士見市教育委員会,ふじみしきょういくいいんかい,1983,b,,富士見市文化財報告第26集　打越遺跡
B110167,宮代町教育委員会,みやしろまちきょういくいいんかい,1983,,,宮代町文化財調査報告書第１集　前原遺跡
B110168,三芳町教育委員会,みよしまちきょういくいいんかい,1983,,,三芳町町東部遺跡群発掘報告書
B110169,毛呂山町教育委員会,もろやままちきょういくいいんかい,1983,,,毛呂山町埋蔵文化財調査報告第１集　伴六遺跡
B110170,山田巌,やまだいわお,1983,,尖頭器,狭山丘陵第３号
B110171,嵐山町誌編さん委員会,らんざんちょうしへんさんいいんかい,1983,,,嵐山町史
B110172,上尾市教育委員会,あげおしきょういくいいんかい,1984,,,上尾市文化財調査報告第21集　天沼遺跡第１～３次調査
B110173,荒井幹夫,あらいみきお,1984,,富士見市貝塚山遺跡（第２・３地点）の調査,第17回遺跡発掘調査報告会発表要旨
B110174,浦和市遺跡調査会,うらわしいせきちょうさかい,1984,a,,浦和市遺跡調査会報告書第34集　吉場・西谷・宮前・大間木内谷･和田西遺跡発掘調査報告書
B110175,浦和市遺跡調査会,うらわしいせきちょうさかい,1984,b,,浦和市遺跡調査会報告書第36集　馬場北・馬場小室山・北宿遺跡発掘調査報告書
B110176,浦和市遺跡調査会,うらわしいせきちょうさかい,1984,c,,浦和市遺跡調査会報告書第43集　梅所遺跡発掘調査報告書
B110177,浦和市教育委員会,うらわしきょういくいいんかい,1984,,,浦和市東部遺跡群発掘調査報告書第４集　松木遺跡（第２次）
B110178,大宮市遺跡調査会,おおみやしいせきちょうさかい,1984,,,大宮市遺跡調査会報告第９集　鎌倉公園遺跡
B110179,小川順一郎,おがわじゅんいちろう,1984,,川口市叺原遺跡の調査,第17回遺跡発掘調査報告会発表要旨
B110180,奥野麦生　,おくのむぎお,1984,,埼玉県東松山市雷原採集の先土器時代資料,Shell　Mound第2号
B110181,桶川市教育委員会,おけがわしきょういくいいんかい,1984,,,桶川市文化財報告書第16集
B110182,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1984,a,,埼玉県埋蔵文化財調査事業団報告書第31集　赤羽・伊奈氏屋敷跡
B110183,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1984,b,,埼玉県埋蔵文化財調査事業団報告書第35集　明花向・明花上ノ台・井沼方馬堤・とうのこし
B110184,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1984,c,,埼玉県埋蔵文化財調査事業団報告書第40集　閏戸足利
B110185,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1984,d,,埼玉県埋蔵文化財調査事業団報告書第41集　向原・上新田・西浦
B110186,狭山市史編さん係,さやまししへんさんかかり,1984,,,狭山市史編さん調査報告書13　狭山市遺跡分布調査報告書第2集　
B110187,志木市,しきし,1984,,,志木市史　原始古代資料編
B110188,塚原正典,つかはらまさのり,1984,,朝霞市泉水山・下ノ原遺跡（昭和57・58年度）の調査,第17回遺跡発掘調査報告会発表要旨
B110189,所沢市教育委員会,ところざわしきょういくいいんかい,1984,,,所沢市文化財調査報告書第12集　椿峰遺跡群
B110190,滑川村,なめかわむら,1984,,,滑川村史 通史編
B110191,新座市,にいざし,1984,,,新座市史　第一巻　自然・考古・古代中世資料編
B110192,新座市教育委員会,にいざしきょういくいいんかい,1984,,,市場坂遺跡及びその隣接遺跡範囲確認調査概要報告書
B110193,富士見市遺跡調査会,ふじみしいせきちょうさかい,1984,a,,富士見市遺跡調査会調査報告第22集　松山遺跡第３地点・観音前遺跡第５地点・八ケ上遺跡第４地点・松ノ木遺跡第30地点・松ノ木遺跡第31地点発掘調査報告書
B110194,富士見市遺跡調査会,ふじみしいせきちょうさかい,1984,b,,富士見市遺跡調査会調査報告第23集　針ヶ谷遺跡群
B110195,増田一裕,ますだかずひろ,1984,,埼玉県北西部の旧石器,旧石器考古学28
B110196,宮井英一,みやいえいいち,1984,,花園町宮林遺跡の調査,第17回遺跡発掘調査報告会発表要旨
B110197,矢島洋一・清水喜芳,やじまよういち・しみずきよし,1984,,,柳瀬川流域東川牛沼第一遺跡採集資料
B110198,与野市,よのし,1984,,,与野市史自然・原始古代資料編
B110199,寄居町,よりいまち,1984,,,寄居町史　原始古代中世資料編
B110200,寄居町教育委員会,よりいまちきょういくいいんかい,1984,,,寄居町史通史編
B110201,寄居町教育委員会,よりいまちきょういくいいんかい,1984,,,寄居町史原始古代・中世資料編
B110202,岩槻市役所,いわつきしやくしょ,1985,,,岩槻市史　通史編
B110203,浦和市遺跡調査会,うらわしいせきちょうさかい,1985,a,,浦和市遺跡調査会報告書第44集　松木・三室・南宿南・馬場小室山遺跡発掘調査報告書
B110204,浦和市遺跡調査会,うらわしいせきちょうさかい,1985,b,,浦和市遺跡調査会報告書第48集　大古里遺跡（第６地点）発掘調査報告書
B110205,浦和市遺跡調査会,うらわしいせきちょうさかい,1985,c,,浦和市遺跡調査会報告書第50集　馬場北・馬場小室山遺跡発掘調査報告書
B110206,浦和市遺跡調査会,うらわしいせきちょうさかい,1985,d,,浦和市遺跡調査会報告書第53集　別所西野台遺跡発掘調査報告書
B110207,浦和市遺跡調査会,うらわしいせきちょうさかい,1985,e,,浦和市遺跡調査会報告書第54集　北宿遺跡発掘調査報告書
B110208,大宮市遺跡調査会,おおみやしいせきちょうさかい,1985,a,,大宮市遺跡調査会報告第11集　西大宮バイパスNo.１・No.２遺跡
B110209,大宮市遺跡調査会,おおみやしいせきちょうさかい,1985,b,,大宮市遺跡調査会報告第12集　原遺跡
B110210,川口市遺跡調査会,かわぐちしいせきちょうさかい,1985,,,川口市遺跡調査会報告第７集　叺原遺跡（歴史時代・図版編）
B110211,川口市教育委員会,かわぐちしきょういくいいんかい,1985,,,川口市文化財調査報告書第23集　－叺原遺跡（先土器・縄文時代編）－
B110212,埼玉県教育委員会,さいたまけんきょういくいいんかい,1985,,,埼玉県埋蔵文化財調査報告書第14集　埼玉県重要遺跡緊急調査報告書Ⅰ
B110213,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1985,a,,埼玉県埋蔵文化財調査事業団報告書第43集　三番耕地・十八番耕地・十二番耕地・神山
B110214,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1985,b,,埼玉県埋蔵文化財調査事業団報告書第45集　鶴ヶ丘（E区）
B110215,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1985,c,,埼玉県埋蔵文化財調査事業団報告書第50集　大林Ⅰ・Ⅱ/宮林/下原南
B110216,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1985,d,,埼玉県埋蔵文化財調査事業団報告書第52集　猿貝北・道上・新町口
B110217,所沢市教育委員会,ところざわしきょういくいいんかい,1985,,,所沢市文化財調査報告書第14集　武野原遺跡
B110218,新座市遺跡調査会,にいざしいせきちょうさかい,1985,a,,新座市道場遺跡発掘調査報告書
B110219,新座市遺跡調査会,にいざしいせきちょうさかい,1985,b,,新座市嵯峨山遺跡第５地点発掘調査報告書
B110220,新座市遺跡調査会,にいざしいせきちょうさかい,1985,c,,新座市嵯峨山遺跡第３地点発掘調査報告書
B110221,東松山市,ひがしまつやまし,1985,,,東松山市の歴史　上巻
B110222,富士見市遺跡調査会,ふじみしいせきちょうさかい,1985,a,,富士見市遺跡調査会調査報告第24集　貝塚山遺跡発掘調査報告書－第２地点－
B110223,富士見市遺跡調査会,ふじみしいせきちょうさかい,1985,b,,富士見市遺跡調査会調査報告第25集　貝塚山遺跡発掘調査報告書－第３地点－
B110224,松本富雄,まつもととみお,1985,,三芳町藤久保東第二遺跡の調査,第18回遺跡発掘調査報告会発表要旨
B110225,村田健二・西井幸雄,むらたけんじ・にしいゆきお,1985,,所沢市中砂遺跡の調査,第18回遺跡発掘調査報告会発表要旨
B110226,入間市,いるまし,1986,,,入間市史　原始古代資料編
B110227,岩槻市教育委員会,いわつきしきょういくいいんかい,1986,,,岩槻市文化財調査報告書第12号　埋蔵文化財の調査（Ⅰ）　　真福寺中道
B110228,浦和市遺跡調査会,うらわしいせきちょうさかい,1986,a,,浦和市遺跡調査会報告書第62集　北宿・馬場北・馬場小室山遺跡発掘調査報告書
B110229,浦和市遺跡調査会,うらわしいせきちょうさかい,1986,b,,浦和市遺跡調査会報告書第63集　北宿西・北宿南遺跡発掘調査報告書
B110230,浦和市遺跡調査会,うらわしいせきちょうさかい,1986,c,,浦和市遺跡調査会報告書第64集　南宿北遺跡発掘調査報告書
B110231,浦和市遺跡調査会,うらわしいせきちょうさかい,1986,d,,浦和市遺跡調査会報告書第66集　白幡本宿遺跡発掘調査報告書
B110232,浦和市遺跡調査会,うらわしいせきちょうさかい,1986,e,,浦和市遺跡調査会報告書第68集　馬場東・馬場小室山遺跡発掘調査報告書
B110233,浦和市遺跡調査会,うらわしいせきちょうさかい,1986,f,,浦和市遺跡調査会報告書第69集　馬場小室山・三室遺跡発掘調査報告書
B110234,大塚和男,おおつかかずお,1986,,浦和市北宿西・北宿南遺跡の調査,第19回遺跡発掘調査報告会発表要旨
B110235,大宮市遺跡調査会,おおみやしいせきちょうさかい,1986,a,,大宮市遺跡調査会報告第15集　Ｂ-13番遺跡、Ａ-79番遺跡、Ａ-239番遺跡、Ａ-116番遺跡
B110236,大宮市遺跡調査会,おおみやしいせきちょうさかい,1986,b,,大宮市遺跡調査会報告第16集　西大宮バイパスNo.4遺跡
B110237,大宮市教育委員会,おおみやしきょういくいいんかい,1986,,,大宮市文化財調査報告第20集　染谷遺跡群発掘調査報告
B110238,川口市,かわぐちし,1986,,,川口市史　考古編
B110239,川口市遺跡調査会,かわぐちしいせきちょうさかい,1986,,,川口市遺跡調査会報告第９集　八本木遺跡
B110240,栗島義明,くりしまよしあき,1986,,先土器時代遺跡の構造論的研究序説,土曜考古第11号
B110241,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1986,a,,埼玉県埋蔵文化財調査事業団報告書第57集　中矢下・夕日ノ沢・上前原沢・芝口ヲネ・後山北谷・滝尾塚
B110242,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1986,b,,埼玉県埋蔵文化財調査事業団報告書第60集　中砂遺跡
B110243,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1986,c,,埼玉県埋蔵文化財調査事業団報告書第61集　猿貝北・新田口
B110244,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1986,d,,埼玉県埋蔵文化財調査事業団報告書第63集　将監塚―縄文時代―
B110245,狭山市,さやまし,1986,,,狭山市史　原始古代資料編
B110246,砂川遺跡発掘20周年のつどい実行委員会,すながわいせきはっくつ20しゅうねんのつどいじっこういいんかい,1986,,,砂川遺跡―埼玉県所沢市砂川遺跡資料集―
B110247,所沢市教育委員会,ところざわしきょういくいいんかい,1986,a,,所沢市文化財調査報告書第18集　柳瀬川流域遺跡群（Ⅳ）
B110248,所沢市教育委員会,ところざわしきょういくいいんかい,1986,b,,所沢市文化財調査報告書第17集　西上遺跡－遺構篇－
B110249,新座市遺跡調査会,にいざしいせきちょうさかい,1986,,,埼玉県新座市嵯峨山遺跡第６地点発掘調査報告書
B110250,富士見市教育委員会,ふじみしきょういくいいんかい,1986,,,富士見市文化財報告第36集　富士見市遺跡群Ⅳ
B110251,美里町史編纂委員会,みさとちょうしへんさんいいんかい,1986,,,美里町史通史編
B110252,水村孝行・田中英司・西井幸雄,みずむらたかゆき・たなかひでし・にしいゆきお,1986,,埼玉県大宮台地の先土器文化,研究紀要’86
B110253,上尾市教育委員会,あげおしきょういくいいんかい,1987,,,上尾市文化財調査報告第30集　谷津下Ⅰ遺跡
B110254,浦和市遺跡調査会,うらわしいせきちょうさかい,1987,a,,浦和市遺跡調査会報告書第73集　上野田西台遺跡発掘調査報告書
B110255,浦和市遺跡調査会,うらわしいせきちょうさかい,1987,b,,浦和市遺跡調査会報告書第74集　本田遺跡発掘調査報告書
B110256,浦和市遺跡調査会,うらわしいせきちょうさかい,1987,c,,浦和市遺跡調査会報告書第75集　西谷・大間木内谷・和田北・宮前遺跡発掘調査報告書
B110257,浦和市遺跡調査会,うらわしいせきちょうさかい,1987,d,,浦和市遺跡調査会報告書第76集　北宿遺跡発掘調査報告書
B110258,浦和市遺跡調査会,うらわしいせきちょうさかい,1987,e,,浦和市遺跡調査会報告書第77集　吉場・大間木内谷遺跡発掘調査報告書
B110259,浦和市遺跡調査会,うらわしいせきちょうさかい,1987,f,,浦和市遺跡調査会報告書第79集　三室・松木・馬場小室山遺跡発掘調査報告書
B110260,浦和市遺跡調査会,うらわしいせきちょうさかい,1987,g,,浦和市遺跡調査会報告書第83集　山崎貝塚発掘調査報告書
B110261,浦和市教育委員会,うらわしきょういくいいんかい,1987,a,,浦和市東部遺跡群発掘調査報告書第７集　馬場小室山遺跡（第15次）・大古里遺跡（第７次）・井沼方遺跡（第10次）
B110262,浦和市教育委員会,うらわしきょういくいいんかい,1987,b,,浦和市東部遺跡群発掘調査報告書第８集　馬場北遺跡（第６次）・北宿遺跡（第10次）・松木北遺跡（第10次）・松木遺跡（第５次）
B110263,大宮市遺跡調査会,おおみやしいせきちょうさかい,1987,,,大宮市遺跡調査会報告第20集　B-92号遺跡、A-230号遺跡、A-61号遺跡
B110264,大宮市教育委員会・大宮市遺跡調査会,おおみやしきょういくいいんかい・おおみやしいせきちょうさかい,1987,,,大宮市遺跡地名表
B110265,織笠昭,おりがさあきら,1987,a,殿山技法と国府型ナイフ形石器,考古学雑誌第72巻第４号
B110266,織笠昭,おりがさあきら,1987,b,国府型ナイフ形石器の形態と技法（上）,古代文化第39号第10号
B110267,織笠昭,おりがさあきら,1987,c,国府型ナイフ形石器の形態と技法（下）,古代文化第39号第12号
B110268,織笠昭,おりがさあきら,1987,d,翼状剥片の構造的矛盾,考古学研究第34巻第１号
B110269,久喜市,くきし,1987,,,久喜市史調査報告書第７集　久喜市の遺跡
B110270,栗島義明,くりしまよしあき,1987,,先土器時代における移動と遺跡形成に関する一考察,古代文化第39号第４号
B110271,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1987,a,,埼玉県埋蔵文化財調査事業団報告書第65集　神明・矢垂
B110272,埼玉県埋蔵文化財調査事業団,さいたまけんまいぞうぶんかざいちょうさじぎょうだん,1987,b,,埼玉県埋蔵文化財調査事業団報告書第66集　北・八幡谷・相野谷
B110273,白岡町,しらおかまち,1987,,,白岡町史通史編上巻
B110274,田中英司,たなかひでし,1987,,埼玉の石器と北海道の石器,埼玉の考古学
B110275,田中英司,たなかひでし,1987,,埼玉の先土器文化,埼玉の文化財第27号
B110276,所沢市,ところざわし,1987,,,所沢市史　原始・古代史料
B110277,中村誠二,なかむらせいじ,1987,,浦和市松木遺跡（第５次）の調査,第20回遺跡発掘調査報告会発表要旨
B110278,水村孝行,みずむらたかゆき,1987,,削器に関する覚書,埼玉の考古学
B110279,三芳町教育委員会,みよしまちきょういくいいんかい,1987,,,三芳町教育委員会藤久保東第三遺跡発掘調査報告書
B110280,柳田博之,やなぎだひろゆき,1987,,浦和市間宮宮後遺跡の調査,第20回遺跡発掘調査報告会発表要旨
B110281,朝霞市泉水山・下ノ原遺跡発掘調査会,あさかしせんずいやましものはらいせきはっくつちょうさかい,1988,,,泉水山・下ノ原遺跡Ⅲ－1982～1985年度発掘調査報告書－
B110282,浦和市遺跡調査会,うらわしいせきちょうさかい,1988,a,,浦和市遺跡調査会報告書第91集　北宿・馬場北遺跡発掘調査報告書
B110283,浦和市遺跡調査会,うらわしいせきちょうさかい,1988,b,,浦和市遺跡調査会報告書第92集　間宮宮後遺跡発掘調査報告書
B110284,浦和市遺跡調査会,うらわしいせきちょうさかい,1988,c,,浦和市遺跡調査会報告書第99集　北宿遺跡発掘調査報告書
B110285,浦和市遺跡調査会,うらわしいせきちょうさかい,1988,d,,浦和市遺跡調査会報告書第100集　北宿遺跡発掘調査報告書
B110286,浦和市遺跡調査会,うらわしいせきちょうさかい,1988,e,,浦和市遺跡調査会報告書第101集　大谷場下町遺跡発掘調査報告書
B110287,浦和市遺跡調査会,うらわしいせきちょうさかい,1988,f,,浦和市遺跡調査会報告書第103集　日向北遺跡発掘調査報告書（第２次）
B110288,浦和市教育委員会・浦和市遺跡調査会,うらわしきょういくいいんかい・うらわしいせきちょうさかい,1988,,,浦和市東部遺跡群発掘調査報告書第10集　馬場北遺跡（第７次）・松木遺跡（第７次）・松木北遺跡（第４次）
B110289,大宮市遺跡調査会,おおみやしいせきちょうさかい,1988,a,,大宮市遺跡調査会報告第22集　南中野諏訪遺跡
B110290,大宮市遺跡調査会,おおみやしいせきちょうさかい,1988,b,,大宮市遺跡調査会報告第23集　南中丸下高井遺跡
B110291,春日部市,かすかべし,1988,,,春日部市史　第一巻考古資料編
B110292,春日部市教育委員会,かすかべしきょういくいいんかい,1988,,,春日部市埋蔵文化財調査報告第２集　花積33・34・38号遺跡
B110293,川口市,かわぐちし,1988,,,川口市史　通史編
B110294,木村俊彦,きむらとしひこ,1988,,滑川町打越遺跡の調査,第21回遺跡発掘調査報告会発表要旨
B110295,栗島義明,くりしまよしあき,1988,,砂川先土器時代遺跡の構造―先土器時代遺跡の形成と集団構成について―,日本考古学協会第54回総会発表要旨
B110296,江南町教育委員会,こうなんまちきょういくいいんかい,1988,,,江南町文化財調査報告第8集　本田東台・上前原
B110297,田代治,たしろおさむ,1988,,一般国道16号西大宮バイパスNo.６遺跡の調査,第21回遺跡発掘調査報告会発表要旨
B110298,所沢市教育委員会,ところざわしきょういくいいんかい,1988,,,所沢市文化財調査報告書第21集　畦の前遺跡－市立荒幡小学校建設に伴う発掘調査－
